ID,CanInterrupt,CanBeInterrupted,StartTimeCanStart,EndTimeCanStart,Duration,Plan,Habit,Authority,Obedience,Exhaust,Sleepy,Dirty,Urinate,Defecate,Energy,Hunger,Thirsty,Ability,Emotion
BT,0,0,05:00,06:00,1,0,8,1,0.8,-1,0,-1,0,1,1,1,0,0,1
BD,0,0,05:00,06:00,5,0,8,1,0.8,-1,0,-1,0,0,0,0,-1,1,1
MD1,0,0,-,-,10,0,0,1,0.8,1,0,1,-1,0,-1,1,0,0,1
MA1,0,0,-,-,11,2,6,1,0.8,-1,0,-1,-1,1,0,1,1,-1,1
MK2,0,0,-,-,12,0,4,1,0.8,1,1,-1,-1,0,1,0,-1,0,0
MC3,0,0,-,-,13,2,6,1,0.8,-1,0,-1,1,-1,1,0,0,-1,0
KJ1,0,0,-,-,14,2,4,1,0.8,0,1,0,-1,0,-1,1,0,1,1
KJ3,0,0,-,-,15,2,0,1,0.8,-1,0,-1,1,0,1,1,-1,1,0
TDS,0,0,-,-,16,2,6,1,0.8,1,-1,-1,0,-1,0,0,1,1,1
MK4,0,0,-,-,17,2,4,1,0.8,1,1,0,0,-1,0,1,1,0,1
GR,0,0,-,-,18,2,6,1,0.8,-1,0,1,-1,-1,1,0,0,1,1
MD2,0,0,-,-,19,2,4,1,0.8,-1,-1,-1,0,0,-1,0,0,0,1
CP2,0,0,-,-,20,2,0,1,0.8,0,1,-1,-1,-1,0,0,0,0,1
CP3,0,0,-,-,21,2,6,1,0.8,0,0,0,-1,-1,1,-1,-1,-1,1
MK6,0,0,-,-,22,2,4,1,0.8,0,-1,0,0,0,1,-1,0,-1,1
BP,0,0,-,-,23,2,6,1,0.8,1,-1,0,-1,-1,1,0,0,0,1
TDM,0,0,-,-,24,2,4,1,0.8,-1,0,0,1,0,-1,0,1,1,1
TD,0,0,-,-,25,2,0,1,0.8,1,1,-1,0,-1,0,-1,-1,-1,0
TO,0,0,-,-,26,2,6,1,0.8,-1,1,0,0,0,0,1,0,-1,1
MD,0,0,-,-,27,2,4,1,0.8,1,-1,0,0,0,-1,1,-1,-1,1
BK,0,0,-,-,28,2,6,1,0.8,1,-1,-1,0,0,0,0,-1,0,0
MK,0,0,-,-,29,2,4,1,0.8,-1,-1,1,0,1,-1,0,-1,1,1
MN1,0,0,-,-,30,2,0,1,0.8,1,0,-1,-1,0,1,1,-1,0,1
MN2,0,0,-,-,31,2,6,1,0.8,1,1,-1,1,1,0,0,0,0,1
MN3,0,0,-,-,32,2,4,1,0.8,0,1,-1,0,0,-1,-1,1,1,1
MN4,0,0,-,-,33,2,6,1,0.8,1,0,1,1,-1,-1,-1,1,-1,1
MP,0,0,-,-,34,2,4,1,0.8,1,0,-1,-1,1,1,1,0,0,0
BS,0,0,-,-,35,2,0,1,0.8,1,1,0,-1,-1,-1,-1,0,-1,1
GD1,0,0,-,-,36,2,6,1,0.8,1,0,1,1,1,-1,0,1,-1,1
GD2,0,0,-,-,37,2,4,1,0.8,-1,1,1,1,-1,-1,-1,-1,-1,0
TV,0,0,-,-,38,2,6,1,0.8,1,0,1,1,-1,0,1,-1,-1,1
BM1,0,0,-,-,39,2,4,1,0.8,0,0,0,-1,0,1,0,1,1,1
MT,0,0,-,-,40,2,0,1,0.8,-1,-1,1,0,-1,1,0,0,-1,0
KS,0,0,-,-,41,2,6,1,0.8,1,-1,1,1,-1,-1,-1,-1,0,0
IB,0,0,-,-,42,2,4,1,0.8,1,1,0,-1,0,1,-1,0,-1,1
GL,0,0,-,-,43,2,6,1,0.8,1,1,0,0,-1,-1,-1,-1,1,0
